,mean,std
total,4459931.3951515155,69312.90492568372
efectivo,2910365.6036363635,198934.3574729891
mantencion,224580.18181818182,67193.68989779457
mecanica,516611.99636363634,140277.23623401145
electrica,24335.61212121212,26049.92744785843
mant_excl,52044.955151515154,34099.58694798914
mec_excl,190154.30666666667,86090.07187173418
elec_excl,10831.060606060606,16452.826918582326
som_excl,96186.47272727273,83843.73622239256
demora,77331.5296969697,58989.72365583805
r_prog,188385.73333333334,62340.03498831109
r_noprg,169103.94303030302,144855.12674395638
payload,127013.88918802846,10421.16217844049
CAT 797-F,285.6678787878788,14.855983348382756
CAT 798-AC,1.8363636363636364,6.1694232207976185
KOM-CHQ,13.734545454545454,17.49011043219206
KOM.960E5,0.9212121212121213,3.9271087322607356
Kom.930E-4,95.89333333333333,0.5709527607571236
Kom.930E-4SE,393.11757575757576,21.741966353392073
Kom.930EN,49.66909090909091,8.347915690834963
Kom.930ER,239.85575757575756,1.4705173580690796
Kom.930ER-MT,0.009696969696969697,0.1968268429850128
Kom.980E5,143.63757575757575,1.9222241212270552
Komatsu AHS,14.56,21.741287731710134
truck_avail,0.7500709009709984,0.042238437097424496
