year_2023,year_2024,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,day_2,day_3,day_4,day_5,day_6,day_7,day_8,day_9,day_10,day_11,day_12,day_13,day_14,day_15,day_16,day_17,day_18,day_19,day_20,day_21,day_22,day_23,day_24,day_25,day_26,day_27,day_28,day_29,day_30,day_31,shift_B,crew_E2,crew_E3,crew_E4,total,efectivo,mantencion,mecanica,electrica,mant_excl,mec_excl,elec_excl,som_excl,demora,r_prog,r_noprg,waiting,queued,payload,distance,distance_down,distance_down_level,distance_up,distance_up_level,expected_time,lift_down,lift_down_level,lift_up,lift_up_level,travel_time,CAT 797-F,CAT 798-AC,KOM-CHQ,KOM.960E5,Kom.930E-4,Kom.930E-4SE,Kom.930EN,Kom.930ER,Kom.930ER-MT,Kom.980E5,Komatsu AHS
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4230000.0,2909055.0,195378.0,215300.0,6378.0,57763.0,106108.0,4519.0,86400.0,217996.0,250516.0,180587.0,188741,96735,196048.79409122467,12782043,2025036,2621523,2139542,5815753,1892482,-194949,-66688,206903,58507,2737150,168.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4233600.0,2882182.0,233080.0,185576.0,16547.0,45764.0,136249.0,0.0,135362.0,167384.0,309552.0,121904.0,205405,78392,190410.04699087143,12455128,2088163,2598537,2277684,5451139,1876926,-393979,-65344,376734,59956,2892494,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4226400.0,2749200.0,276555.0,168400.0,0.0,41544.0,137995.0,37466.0,153200.0,222002.0,258562.0,181476.0,163630,35620,182896.71412277222,12764489,2155583,2503402,2197536,5705612,1880550,-206954,-61953,240421,57218,2832395,168.0,0.0,0.0,24.0,96.0,394.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4230000.0,2838853.0,255450.0,161031.0,29273.0,29267.0,119114.0,15883.0,157204.0,107988.0,306550.0,209387.0,218408,21936,177821.82199335098,12258245,2243052,2326182,2382183,5207330,1914552,-199537,-58222,287730,56119,3035267,168.0,0.0,0.0,24.0,95.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4230000.0,2845762.0,255412.0,138690.0,505.0,65072.0,117170.0,18043.0,179598.0,170299.0,249707.0,189742.0,177649,22043,184522.75209140778,12645782,2387010,2354509,2398708,5298994,1922821,-195501,-57097,202853,54358,3012291,168.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4230000.0,2928052.0,251697.0,196272.0,34030.0,74994.0,46923.0,1879.0,164983.0,92558.0,257158.0,181454.0,199507,22195,169636.14100694656,13117223,2607489,2511472,2550062,5327167,1966743,-509092,-62200,503746,57612,3116728,168.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4230000.0,2779647.0,265574.0,319139.0,0.0,94523.0,52030.0,9742.0,128233.0,245751.0,217137.0,118224.0,181118,26298,160945.39898872375,12633351,2237535,2309988,2276360,5679657,1881344,-188966,-58471,194742,55449,2919693,168.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,4230000.0,2825000.0,171895.0,479388.0,28778.0,29618.0,87478.0,5693.0,93932.0,91824.0,240956.0,175438.0,189253,14012,160596.6180677414,12631483,2327024,2528924,2407142,5169750,1913354,-378189,-63678,374819,55212,2909305,168.0,0.0,0.0,24.0,96.0,395.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,4233600.0,2776018.0,172621.0,573626.0,4062.0,17668.0,51735.0,15637.0,172222.0,146491.0,176890.0,126630.0,159682,35674,158409.59999895096,12942132,2157804,2658640,2110780,5855108,1847745,-322476,-63506,315974,61835,2966556,168.0,0.0,0.0,24.0,96.0,396.0,96.0,240.0,0.0,132.0,24.0
False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4215600.0,2590658.0,101666.0,482858.0,48878.0,2493.0,35598.0,0.0,237469.0,201305.0,208415.0,306260.0,119458,13459,110878.46605920792,10667346,1893255,2019122,2110155,4539124,1517552,-209236,-51967,232178,57218,2316456,167.0,0.0,0.0,24.0,95.0,393.0,96.0,240.0,0.0,132.0,24.0
